order_id,customer_city,region,pallets,due_day,priority,product_family,requested_delivery_day
ORD-1001,Naples,Campania,1,5,High,Fresh,5
ORD-1002,Turin,Piedmont,7,4,Medium,Ambient,4
ORD-1003,Turin,Piedmont,7,1,Critical,Ambient,1
ORD-1004,Genoa,Liguria,7,5,High,Ambient,5
ORD-1005,Palermo,Sicily,5,2,Critical,Frozen,2
ORD-1006,Florence,Tuscany,1,1,Medium,Frozen,1
ORD-1007,Rome,Lazio,9,1,High,Fresh,1
ORD-1008,Palermo,Sicily,7,1,Critical,Frozen,1
ORD-1009,Verona,Veneto,10,1,High,Ambient,1
ORD-1010,Genoa,Liguria,4,3,Medium,Ambient,3
ORD-1011,Genoa,Liguria,8,3,Critical,Fresh,3
ORD-1012,Bari,Apulia,10,5,Critical,Fresh,5
ORD-1013,Catania,Sicily,5,2,Critical,Fresh,2
ORD-1014,Florence,Tuscany,5,2,Medium,Frozen,1
ORD-1015,Verona,Veneto,11,5,Low,Frozen,4
ORD-1016,Naples,Campania,3,3,Low,Fresh,3
ORD-1017,Genoa,Liguria,5,5,Medium,Ambient,5
ORD-1018,Genoa,Liguria,9,4,Medium,Fresh,4
ORD-1019,Venice,Veneto,5,1,Low,Fresh,1
ORD-1020,Turin,Piedmont,12,4,Medium,Ambient,4
ORD-1021,Naples,Campania,2,2,Medium,Ambient,2
ORD-1022,Venice,Veneto,3,1,Medium,Fresh,1
ORD-1023,Palermo,Sicily,11,2,High,Ambient,1
ORD-1024,Verona,Veneto,12,2,Critical,Fresh,2
ORD-1025,Turin,Piedmont,7,1,Low,Ambient,1
ORD-1026,Palermo,Sicily,5,2,High,Fresh,1
ORD-1027,Rome,Lazio,8,2,Low,Ambient,1
ORD-1028,Genoa,Liguria,4,2,Low,Fresh,1
ORD-1029,Florence,Tuscany,5,1,Critical,Ambient,1
ORD-1030,Catania,Sicily,7,5,Medium,Fresh,5
ORD-1031,Genoa,Liguria,3,5,Critical,Ambient,5
ORD-1032,Naples,Campania,10,4,Medium,Ambient,3
ORD-1033,Verona,Veneto,9,1,Medium,Frozen,1
ORD-1034,Genoa,Liguria,1,4,Low,Frozen,4
ORD-1035,Florence,Tuscany,7,1,Critical,Ambient,1
ORD-1036,Naples,Campania,12,3,Medium,Frozen,2
ORD-1037,Florence,Tuscany,7,3,Medium,Fresh,2
ORD-1038,Venice,Veneto,11,2,High,Ambient,1
ORD-1039,Catania,Sicily,1,3,Medium,Ambient,2
ORD-1040,Bari,Apulia,8,4,High,Frozen,3
